Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18298345,BA1011/190,Portrait of Private Clifton,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Clifton is wearing a Field Service cap, badges and ""INF"" badge on shoulder.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Clifton,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,190PD.jpg"
.b18298369,BA1011/191,Portrait of H.N. Bailey,1915,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"H.N. Bailey is seated, wearing a Field Service cap, badges and puttees. Photograph dated 18 May 1915.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Bailey, H. N.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,191PD.jpg"
.b18298400,BA1011/192,"Portrait of Joseph David Lown, unknown and David Edward Barrow of 10th Light Horse Regiment",1915,1 negative :,Title provided by cataloguer.;Joseph David Lown (at left) identified by his regimental number 20 on his hat. David Edward Barrow identified by his regimental number 88 on his hat. Soldier in centre has no number visible.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait shows three soldiers, two wearing bandoliers, one with a webbing belt with pockets, one with puttees, one with leggings. All wearing slouch hats and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Lown, Joseph David;Barrow, David Edward",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,192PD.jpg"
.b18299362,BA1011/193,Portrait of Private Crossley,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Crossley is half-sitting, wearing a slouch hat and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Crossley,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,193PD.jpg"
.b18299404,BA1011/194,Portrait of Private Camper,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,Portrait of Private Camper.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Camper,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,194PD.jpg"
.b18299453,BA1011/195,"Portrait of Sergeant Cadden, Medical Corps",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Sergeant Cadden of medical corps, is wearing a Field Service cap, badges, leggings and holding a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Cadden,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,195PD.jpg"
.b18299477,BA1011/196,Portrait of Private Camper,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,Private Camper is seated wearing puttees.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Camper,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,196PD.jpg"
.b18299489,BA1011/197,Portrait of E.G. Curtis,1914-1918.,1 negative :,Title provided by photographer.;Original glass negative is cracked.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,E.G. Curtis is wearing a Field Service cap and badge.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Curtis, E. G.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,197PD.jpg"
.b18299507,BA1011/198,"Portrait of two soldiers, J. Campbell possibly standing",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait of two soldiers, one of whom is J. Campbell, wearing slouch hats, puttees and AIF badges. J. Campbell is possibly the man standing see a photograph published in the Western Mail 7 April 1916, p.24 bottom left corner.;Adopted by B Campbell.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Campbell, J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,198PD.jpg"
.b18299532,BA1011/199,Portrait of Lieutenant Adam James,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,"Waistlength portrait of Adam James, who is wearing a Field Service Cap, Sam Browne belt and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"James, Adam",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,199PD.jpg"
.b1829960x,BA1011/200,"Portrait of two soldiers, one of whom is Lieutenant Adam",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait shows two soldiers, one of whom is Lieutenant Adam, wearing a Sam Browne belt and holding a cane. The other is a Private, wearing a Field Service cap, puttees and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Adam,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,200PD.jpg"
.b18299659,BA1011/201,Portrait of Private C.F. Abbotts,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,"Waistlength portraits of C.F. Abbotts, wearing badges. In one he is wearing a Field Service Cap.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Abbotts, C. F.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,201PD.jpg"
.b18299696,BA1011/202,Portrait of Private J.W. Andrews,1916,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Three quarter length portrait of J.W. Andrews, wearing a Field Service cap, badges and scarf. Possibly John William Andrews of the 16th Battalion who was killed in action 4 July 1917 on the Western Front.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Andrews, J. W.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,202PD.jpg"
.b18300054,BA1011/203,Portrait of J.W. Andrews,1916,1 negative :,Title provided by photographer.;For a photograph of this man in civilian clothes see 150479PD.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Three quarter length portrait of J.W. Andrews, wearing a Field Service cap, badges and scarf. Possibly John William Andrews of the 16th Battalion who was killed in action 4 July 1917 on the Western Front.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Andrews, J. W.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,203PD.jpg"
.b18300066,BA1011/204,Portrait of Private Ashmead,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait of Ashmead, wearing a Field Service cap, badges, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Ashmead,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,204PD.jpg"
.b18300194,BA1011/205,Portrait of S. Perry,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Three quarter length portrait of S. Perry, wearing collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Perry, S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,205PD.jpg"
.b18300212,BA1011/206,Portrait of Private C.A. Possares,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,Full-length portrait of C.A. Possares wearing a Field Service cap and puttees.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Possares, C. A.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,206PD.jpg"
.b18300236,BA1011/207,Portrait of William Powell,1916?,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Full-length portrait of William Powell, regimental number 4449 who enlisted on 17th February 1916 and was assigned to the No. 6 Tunnelling Company. He is wearing collar badges and puttees.;Adopted by Matthew Powell.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Powell, William",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,207PD.jpg"
.b18300248,BA1011/208,Portrait of G.T. Pound,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;Two images on one plate.,"Waistlength portraits of G.T. Pound, wearing a Field Service Cap and AIF badges on collar.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Pound, G. T.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,208PD.jpg"
