Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b39359712,3915B/9,,Nurse Dora Mearns and Sister Alice Kimber with first officers at Blackboy Hill camp.,1914,1 photograph :,Title from back of print.;Sister Alice May Kimber and Nurse Dora Mearns both enlisted in the Australian Army Nursing Service 11 December 1916 and were sent overseas. None of the officers are identified.,,"Mearns, Dora;Kimber, Alice May;Soldiers",Nurses;Military training camps;Online image.,,3915B/9: Nurse Dora Mearns and Sister Alice Kimber (right) with first officers at Blackboy Hill camp,http://purl.slwa.wa.gov.au/slwa_b3935971_1;http://purl.slwa.wa.gov.au/slwa_b3935971_1.png
b39362152,3915B/11,,"Parade of troops in support of the conscription referendum, Hay Street, Perth, 25 October 1916.",1916,1 photograph :,Title created by cataloguer from donor information.;There were two conscription referenda in Australia the first held 28 October 1916 and the second on 20 December 1917. Both were defeated.,,,"World War, 1914-1918;Conscription;Draft;Crowds;Military parades and ceremonies;Soldiers;Online image.",,"3915B/11: Parade of troops in support of the conscription referendum, Hay Street, Perth, 25 October 1916",http://purl.slwa.wa.gov.au/slwa_b3936215_1;http://purl.slwa.wa.gov.au/slwa_b3936215_1.png
b39363892,3915B/12,,AIF march through Wellington Street Perth.,1914,1 photograph :,Title created by cataloguer from donor information.;The building in the foreground is in front of the Perth Railway Station. See 013608D for another view of this building. The troops are marching west.,,,"World War, 1914-1918;Crowds;Military parades and ceremonies;Soldiers;Online image.","Wellington Street (Perth, W.A.)","3915B/12: AIF march through Wellington Street Perth, 1914",http://purl.slwa.wa.gov.au/slwa_b3936389_1;http://purl.slwa.wa.gov.au/slwa_b3936389_1.png
b39363910,3915B/13,,The Australian 3rd Brigade leaving Alexandria for Mudros on the Island of Lemnos.,1915,1 photograph :,Title created by cataloguer from donor information.,,,"World War, 1914-1918;Soldiers;Online image.",,"3915B/13: The Australian 3rd Brigade leaving Alexandria for Mudros on the Island of Lemnos, 1915",http://purl.slwa.wa.gov.au/slwa_b3936391_1;http://purl.slwa.wa.gov.au/slwa_b3936391_1.png
b39368877,3915B/14,,"Nurses march past the saluting base in the Peace Day parade, Perth, 19 July 1919.",1919,1 photograph :,Title created by cataloguer from donor information.,"Armistice Day, 11 November 1918, marked the end of fighting on the Western Front, but formal negotiations at the Paris Peace Conference continued into 1919. The Allies' formal peace treaty with Germany, the Treaty of Versailles, was not officially signed until 28 June 1919. Peace Day, 19 July 1919, was planned as a public celebration of the end of the war. The saluting base in the foreground is in front of Trinity Church in St George's Terrace.",,"World War, 1914-1918;World War, 1914-1918;Marching;Military parades and ceremonies;Nurses;Online image.",,"3915B/14: Nurses march past the saluting base in the Peace Day parade, Perth, 19 July 1919",http://purl.slwa.wa.gov.au/slwa_b3936887_1;http://purl.slwa.wa.gov.au/slwa_b3936887_1.png
b39374592,5829B/7,"Lafayette Studios,",Alexander Phipps Turnbull /,1915,1 photograph :,Title supplied by donor.;Photograph autographed Phipps. This indicates that the family called his Phipps.,"The son of A.P. and Marian Turnbull (nee Lee Steere), Alexander Phipps Turnbull was a 2nd Lieutenant in the 10th Australian LIght Horse unit. He was killed in action on 7 August 1915 and is buried at Ari Burnu Cemetery, Gallipoli, Turkey.","Turnbull, Alexander Phipps,;Turnbull, Alexander Phipps,",Soldiers,,"5829B/7: Alexander Phipps Turnbull, 1915",http://purl.slwa.wa.gov.au/slwa_b3937459_1;http://purl.slwa.wa.gov.au/slwa_b3937459_1.png
b39374701,BA27/25,,1917 Souvenir de France.,1917,1 postcard :,Title from front of postcard.,An embroidered postcard sent by an unknown soldier from the battlefields of France.,,"Postcards;Soldiers;World War, 1914-1918;Online image.",,BA27/25: Front of embroidered postcard: 1917 Souvenir de France;BA27/25: Back of embroidered postcard: 1917 Souvenir de France,http://purl.slwa.wa.gov.au/slwa_b3937470_1;http://purl.slwa.wa.gov.au/slwa_b3937470_2;http://purl.slwa.wa.gov.au/slwa_b3937470_1.png;http://purl.slwa.wa.gov.au/slwa_b3937470_2.png
b39375602,BA198/183,,To my sister from Jack Rowe.,approximately 1917.,1 postcard :,Title from postcard.,"An embroidered postcard sent from Jack Rowe to his sister Miss R. Rowe, 130 Lewis Street, Kalgoorlie. Jack enlisted 9 December 1915 aged 19 and returned to Australia 24 December 1918. On enlistment he gave his next of kin as his sister Miss R. Rowe care/of G.J. Inglis, 130 Lewis Street, Kalgoorlie. (a relative of Jack's mother who was Janet Rowe nee Inglis)","Rowe, Jack,","Postcards;Soldiers;World War, 1914-1918;Online image.",,"BA198/183: Front of embroidered postcard from Jack Rowe in France to his sister R. Rowe in Kalgoorlie, ca. 1917;BA198/183: Back of embroidered postcard from Jack Rowe in France to his sister R. Rowe in Kalgoorlie, ca. 1917",http://purl.slwa.wa.gov.au/slwa_b3937560_1;http://purl.slwa.wa.gov.au/slwa_b3937560_2;http://purl.slwa.wa.gov.au/slwa_b3937560_1.png;http://purl.slwa.wa.gov.au/slwa_b3937560_2.png
b39375614,BA249/1,,"Postcard embroidered with the rising sun emblem sent from Pte A.O. Dunne in France to Jessie Darby at the Infants School, Midland Junction.",approximately 1917.,1 postcard :,Title from postcard.,The donor notes that Jessie was the only child at the Midland Junction Primary School to receive acknowledgement of gifts and messages sent to troops at the front in France.,"Dunne, Arthur Oswald;Darby, Jessie,","Postcards;Soldiers;World War, 1914-1918;Online image.",,"BA249/1: Front of embroidered postcard from Pte A.O. Dunne in France to Jessie Darby at the Infants School, Midland Junction, ca. 1917;BA249/1: Back of of embroidered postcard from Pte A.O. Dunne in France to Jessie Darby at the Infants School, Midland Junction, ca. 1917",http://purl.slwa.wa.gov.au/slwa_b3937561_1;http://purl.slwa.wa.gov.au/slwa_b3937561_2;http://purl.slwa.wa.gov.au/slwa_b3937561_1.png;http://purl.slwa.wa.gov.au/slwa_b3937561_2.png
b39375705,BA1660/1083,,"Embroidered postcard sent by James Oliver (Curly) on active duty in France to his sister Miss Mary Oliver in Mile End, South Australia, 3 June 1917.",1917,1 postcard :,Title from postcard.,,"Oliver, James Kerslake;Oliver, Mary","Postcards;Soldiers;World War, 1914-1918;Online image.",,"BA1660/1083: Front: Embroidered postcard sent by James Oliver (Curly) on active duty in France to his sister Miss Mary Oliver in Mile End, South Australia, 3 June 1917;BA1660/1083: Back: Embroidered postcard sent by James Oliver (Curly) on active duty in France to his sister Miss Mary Oliver in Mile End, South Australia, 3 June 1917",http://purl.slwa.wa.gov.au/slwa_b3937570_1;http://purl.slwa.wa.gov.au/slwa_b3937570_2;http://purl.slwa.wa.gov.au/slwa_b3937570_1.png;http://purl.slwa.wa.gov.au/slwa_b3937570_2.png
b39375717,BA1660/1723,,Souvenir  d'Etaples embroidered postcard.,1917?,1 postcard :,Title from postcard which has been sent without any message.,,,Postcards;Online image.,,"BA1660/1723: Front of Souvenir d'Etaples embroidered postcard, ca. 1917;BA1660/1723: Back of Souvenir d'Etaples embroidered postcard, ca. 1917",http://purl.slwa.wa.gov.au/slwa_b3937571_1;http://purl.slwa.wa.gov.au/slwa_b3937571_2;http://purl.slwa.wa.gov.au/slwa_b3937571_1.png;http://purl.slwa.wa.gov.au/slwa_b3937571_2.png
b39375924,ACC 5523A/1-5,"Hobbs, Joseph John Talbot,","Sir Joseph John Talbot Hobbs personal diaries,",1915-1919.,5 volumes :,"Sir J. J. Talbot Hobbs recorded his activities during the World War I in diaries divided into 5 volumes. All volumes contained notes at the back of the diary, mostly in a reverse sequence, some accompanied by newspaper clippings and appendices.;Last two diaries are written on booklets marked, ""Army Book 136"".",,"Hobbs, Joseph John Talbot,","Architects;World War, 1914-1918",,Vol. 1 Apr. 1915-Jan. 1916;Vol. 2 Jan. 1916-Jan. 1917;Vol. 3 Feb. 1917-May 1918;Vol. 4 May 1918- Nov. 1918;Vol. 5 Nov. 1918-Jul. 1919,http://purl.slwa.wa.gov.au/slwa_b3937592_1;http://purl.slwa.wa.gov.au/slwa_b3937592_2;http://purl.slwa.wa.gov.au/slwa_b3937592_3;http://purl.slwa.wa.gov.au/slwa_b3937592_4;http://purl.slwa.wa.gov.au/slwa_b3937592_5;http://purl.slwa.wa.gov.au/slwa_b3937592_1.png;http://purl.slwa.wa.gov.au/slwa_b3937592_2.png;http://purl.slwa.wa.gov.au/slwa_b3937592_3.png;http://purl.slwa.wa.gov.au/slwa_b3937592_4.png;http://purl.slwa.wa.gov.au/slwa_b3937592_5.png
b39653729,BA2581,,"Portraits of William, Robert and George Straughair.",approximately 1904-1915.,"2  photographs, mounted :;2 photographs :",Title supplied by cataloguer.,"Brothers William, Robert and George Straughair all fought in World War 1.  George served in the 51st Regiment and was killed at Villers-Bretonneux 3 September 1916.  Robert served in the 16th Regiment, and died in France 21 October1918.  William also served in the 51st Regiment and returned to Australia in 1917.  He died in 1976.","Straughair, George Angove,;Straughair, William John,;Straughair, Robert Thomas,",Soldiers,,"BA2581/1: William and Robert Straughair, ca.1904;BA2581/2: William John Straughair, 1915?;BA2581/3: George Angove Straughair, ca.1914;BA2581/4: L-R: William, George and Robert Straughair, ca.1908",http://purl.slwa.wa.gov.au/slwa_b3965372_5;http://purl.slwa.wa.gov.au/slwa_b3965372_6;http://purl.slwa.wa.gov.au/slwa_b3965372_7;http://purl.slwa.wa.gov.au/slwa_b3965372_8;http://purl.slwa.wa.gov.au/slwa_b3965372_5.png;http://purl.slwa.wa.gov.au/slwa_b3965372_6.png;http://purl.slwa.wa.gov.au/slwa_b3965372_7.png;http://purl.slwa.wa.gov.au/slwa_b3965372_8.png
b39727932,BA1799/80-82,,A navy parade through Albany.,1918?  ,3 negatives :,Title devised by cataloguer from information supplied by the donor.,"Dated to late in the war years by the women's clothing, especially the hemlines.",,"Military parades and ceremonies;World War, 1914-1918;Online image.",,"088642PD: A navy parade through York Street, Albany, 1918?;088643PD: A navy parade through Stirling Terrace, Albany, 1918?;088644PD: A navy parade through Stirling Terrace, Albany, 1918?",http://purl.slwa.wa.gov.au/slwa_b3972793_1;http://purl.slwa.wa.gov.au/slwa_b3972793_2;http://purl.slwa.wa.gov.au/slwa_b3972793_3;http://purl.slwa.wa.gov.au/slwa_b3972793_1.png;http://purl.slwa.wa.gov.au/slwa_b3972793_2.png;http://purl.slwa.wa.gov.au/slwa_b3972793_3.png
b39730098,"BA1799/84,89",,"Albany street decorations for the visit of Admiral Lord Jellicoe celebrating victory in the Great War, May 1919.",1919,2 negatives :,Title devised by cataloguer.,"Street signs read ""Welcome Britains pride - the Navy welcome"" and ""Sea power gave the victory"". The decorations and the visit is described in the West Australian, 16 May 1919, p.7.","Jellicoe, John Rushworth Jellicoe,","Imperialism;Street decoration;World War, 1914-1918;Online image.","Stirling Terrace (Albany, W.A.)","088646PD: Albany street decorations for the visit of Admiral Lord Jellicoe, May 1919;088651PD: Albany street decorations for the visit of Admiral Lord Jellicoe, May 1919",http://purl.slwa.wa.gov.au/slwa_b3973009_1;http://purl.slwa.wa.gov.au/slwa_b3973009_2;http://purl.slwa.wa.gov.au/slwa_b3973009_1.png;http://purl.slwa.wa.gov.au/slwa_b3973009_2.png
b39730128,BA1799/87-88,,"Albany supports the war effort, help in the time of need.",1914,2 negatives :,Title from information supplied by donor. Captions supplied by donor.,,,"World War, 1914-1918;World War, 1914-1918;Parade floats;Online image.",,"088649PD: Help in the time of need, parade float in support of the War Fund, Albany, 1914;088650PD: A first war effort in Albany, 1914",http://purl.slwa.wa.gov.au/slwa_b3973012_1;http://purl.slwa.wa.gov.au/slwa_b3973012_2;http://purl.slwa.wa.gov.au/slwa_b3973012_1.png;http://purl.slwa.wa.gov.au/slwa_b3973012_2.png
b39730153,BA1799/90,,"Admiral Lord Jellicoe speaks from the steps of the Albany Town Hall, 15 May 1919.",1919,1 negative :,"Title devised by cataloguer.;The decoration of the Town Hall and this event are described in a newspaper article published in the Albany Advertiser, 17 May 1919, p.3.",Lord Jellicoe visited Western Australia as part of a world tour to celebrate peace and victory in the Great War.,"Jellicoe, John Rushworth Jellicoe,","Imperialism;World War, 1914-1918;Crowds;Online image.",Albany Town Hall (W.A.),"088652PD: Reception at Albany Town Hall for Admiral Lord Jellicoe celebrating victory in the Great War, 15 May 1919",http://purl.slwa.wa.gov.au/slwa_b3973015_1;http://purl.slwa.wa.gov.au/slwa_b3973015_1.png
b39730372,,"Hobbs, Joseph John Talbot,","Sir Joseph John Talbot Hobbs' notes on tour of Australian cemeteries and war memorials in Egypt, Gallipoli, France and Belgium, 1930 /",1930,1 volume (35 pages) :,"Only pages with writings are accounted for, mainly at the front and the back pages of the notebook and covers.","Contains notes of Sir Talbot Hobbs' tour to Australian cemeteries and war memorials in Egypt, Gallipoli, France and Belgium mainly during April 1930. It includes his observation of the cemeteries and their supervision, the condition of some tombstones and his points for consideration for maintenance. It also includes baggage lists and his account of baggages.","Hobbs, Joseph John Talbot,","Architects;War memorials;War memorials;War memorials;War memorials;World War, 1914-1918;World War, 1914-1918",,Tour of Australian cemeteries,http://purl.slwa.wa.gov.au/slwa_b3973037_1;http://purl.slwa.wa.gov.au/slwa_b3973037_1.png
b39730396,,"Stahl, Oscar Ferdinand,",Oscar Ferdinand Stahl letters.,1915,2 letters (2 folded sheets) +;1 online resource (6 image files) :,Title devised by cataloguer.,"Letters dated ""May 24th"" and ""May 26th"" written by Private Oscar Stahl in 1915 to his mother Frances in Kalgoorlie, while he was at the Blackboy Hill military training camp at the foot of the Darling Ranges, east of Perth. ","Stahl, Oscar Ferdinand,;Stahl, Oscar Ferdinand,;Stahl, Frances Adcock","Soldiers;Basic training (Military education);World War, 1914-1918",Blackboy Hill (W.A.),9257A: Envelope;9257A: Reverse of envelope;9257A: Letter 24 May 1915;9060A: Envelope;9060A: Reverse of envelope;9060A: Letter May 26th 1915,http://purl.slwa.wa.gov.au/slwa_b3973039_1;http://purl.slwa.wa.gov.au/slwa_b3973039_2;http://purl.slwa.wa.gov.au/slwa_b3973039_3;http://purl.slwa.wa.gov.au/slwa_b3973039_7;http://purl.slwa.wa.gov.au/slwa_b3973039_8;http://purl.slwa.wa.gov.au/slwa_b3973039_9;http://purl.slwa.wa.gov.au/slwa_b3973039_1.png;http://purl.slwa.wa.gov.au/slwa_b3973039_2.png;http://purl.slwa.wa.gov.au/slwa_b3973039_3.png;http://purl.slwa.wa.gov.au/slwa_b3973039_7.png;http://purl.slwa.wa.gov.au/slwa_b3973039_8.png;http://purl.slwa.wa.gov.au/slwa_b3973039_9.png
b39970504,,"Woodroffe, Charles Jewel,",Charles Woodroffe World War I papers.,1919?-2014.,1 wallet.,Title devised by cataloguer.,"Woodroffe's handwritten looseleaf memoirs (first page missing), written after the war once he had returned home. Also includes a typescript transcription of the memoirs and an article from the West Australian, Tuesday March 11, 2014, p. 18 entitled Mystery surrounds pictures of Diggers.","Woodroffe, Charles Jewel,","Soldiers;World War, 1914-1918;World War, 1914-1918","World War, 1914-1918",,
b40132365,BA2594,"Midland Junction Studio,",Portrait of Harold James Brabner.,1914,1 photograph :,Title created by cataloguer.,,"Brabner, Harold James,",Soldiers;Military uniforms;Portraits,,"BA2594: Harold James Brabner, 1914",http://purl.slwa.wa.gov.au/slwa_b4013236_1;http://purl.slwa.wa.gov.au/slwa_b4013236_1.png
b40146893,PR14590/1,,License to collect issued to Esmay Pellow /,[1916?],1 card ,"Title supplied by cataloguer.;It has ""War Council Act, 1915."" at top. On the top left-hand corner, it has ""Not Transferable"" written and underlined.;Digitised as part of the World War I Centenary Project.","A licence card with the name, Esmay Pellow, Southern Cross. No. 2791 and issued by Ethel Parker, Honorary Secretary of the Trench Comforts Fund of the Victoria League. ""The Victoria League was the sole agent of the War Council appointed to make collections in money or kind on behalf of the soldiers in the trenches during the World War I. Any bodies or individuals wishing to make collections or organising entertainments for the cause must apply to the Victoria League (trench comforts' fund) for the authority to do so."" Extract from The West Australian, Friday 4 August 1916.",,"World War, 1914-1918",,PR14590/1: License to collect issued to Esmay Pellow,http://purl.slwa.wa.gov.au/slwa_b4014689_2;http://purl.slwa.wa.gov.au/slwa_b4014689_2.png
b40202495,PR14590/35,"Cox, H. V.",A personal word to soldiers of the 4th Australian Division /,1916,1 sheet ,Title supplied by cataloguer.;Digitised as part of the World War I Centenary Project.,"A note by Sir H. V. Cox, Major-General, Commanding 4th Australian Division to soldiers of his Division encouraging them to uphold the high reputation of the Armies of the British Empire in France.",,"World War, 1914-1918",,PR14590/35: A personal word to soldiers of the 4th Australian Division,http://purl.slwa.wa.gov.au/slwa_b4020249_2;http://purl.slwa.wa.gov.au/slwa_b4020249_2.png
