Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
 ,"Peace souvenir, November, 1918.",,"[Australia] :R. McG & Co. Print,1918.",1 postcard :col. ;9 x 14 cm.,,,"Souvenir postcard. Illustrated with flags (British, Union Jack and Australian, Red Ensign), drawing of a soldier and the last lines from the poem ""The sword of pain"" by George Essex Evans.",,,"Postcards--Specimens. ; --World War, 1914-1918--Peace.",,,,,,,A digital copy is available at http://hdl.handle.net/10462/pdf/1014SLQ DigPub,http://hdl.handle.net/10462/pdf/1014
"MacMillan, Margaret. ",Peacemakers :the Paris Conference of 1919 and its attempt to end war /Margaret MacMillan.,,"London :J. Murray,2001.","xii, 574 p., [16] p. of plates :ill., maps, ports. ;24 cm.",,,,,,"World War, 1914-1918--Peace. ; --World War, 1939-1945--Causes.",,,,,719559391,,,
"Nicolson, Harold George,Sir,1886-1968 ","Peacemaking, 1919 /by Harold Nicolson",,"London :Constable & Co.,1933","vii, 378 p. :ill. ;23 cm.",Includes index.,,,,,"World War, 1914-1918--Peace",,,,,,,,
"Oliver, Bobbie,1951- ","Peacemongers :conscientious objectors to military service in Australia, 1911-1945 /Bobbie Oliver",,"Fremantle, W.A :Fremantle Arts Centre Press,1997","191 p. :ill., ports. ;21 cm.",Includes index.,,,,,"Conscientious objectors--Australia ; --World War, 1914-1918--Conscientious objectors--Australia ; --World War, 1939-1945--Conscientious objectors--Australia ; --Conscientious objectors--Legal status, laws, etc.--Australia",,,,,1863681841,,,
 ,Pen pictures of British battles /painted by author and artist,,"London :Eyre and Spottiswoode,1917","72p., <11> leaves of plates :ill. ;22cm.",,,,,,"World War, 1914-1918--Campaigns",,,,,,,,
"Gibbs, Philip,Sir,1877-1962 ",People of destiny /by Philip Gibbs,,"London :Selwyn and Blount,1920","xiii, 237 p. ;22 cm.",,,,,,"National characteristics, American ; --World War, 1914-1918--United States--Influence",United States--Social life and customs,,,,,,,
"Saunders, Hilary St. George,1898-1951 ","Per ardua :the rise of British air power, 1911-1939",,"London :O.U.P.,1944","355 p :illus., facsims., port. ;22 cm.",,,,,Great Britain.--Royal Air Force,"World War, 1914-1918--Aerial operations",,,,,,,,
"Smythe, Donald ","Pershing, general of the armies /Donald Smythe",,"Bloomington :Indiana University Press,c1986","xii, 399 p. :ill ;24 cm.",Includes index.,,,"Pershing, John J.--(John Joseph),--1860-1948","United States.--Army--Biography ; --United States.--Army--History--World War, 1914-1918","Generals--United States--Biography ; --World War, 1914-1918--Campaigns--France",,,,,025334381X,,,
 ,Photographs of World War I[picture],,,copy printsb&w/col.,,,"These photographs are from the John Oxley Library's copy print collection. The copy print collection is comprised of photographic prints that depict Queensland's people, places & events.",,,"World War, 1914-1918--Queensland --Photographs ; --Photographic prints--gmgpc",,,,,,,Digital copies of these photographs may be available.,
"Hutchinson, Garrie,1949- ",Pilgrimage :a traveller's guide to New Zealanders in two world wars /Garrie Hutchinson.,,"Auckland, N.Z. :Penguin,2012.","304 p. :col. ill., col. maps ;24 cm.",,,"""There are more than 30,000 New Zealand men and women, casualties of the two world wars, buried in cemeteries and named on memorials around the world. On a journey through time and place, Garrie Hutchinson takes you to these foreign battlefields, revealing their past and present. With GPS co-ordinates, written descriptions, maps and handy hints, and illustrated with exquisite photography throughout, Pilgrimage is a practical and up-to-date travel companion intertwined with a rich and elegantly told history""--Publisher information.",,,"World War, 1914-1918--Battlefields--Guidebooks. ; --World War, 1939-1945--Battlefields--Guidebooks. ; --World War, 1914-1918--Monuments--Guidebooks. ; --World War, 1939-1945--Monuments--Guidebooks. ; --World War, 1914-1918--New Zealand. ; --World War, 1939-1945--New Zealand.",,,,,9780143567790 (pbk.) ; 0143567799 (pbk.),,,
"Sheppard, A.",Playing the war game :America's part /by A. Sheppard.,,"Melbourne :Green,1915.",16 p. ;22 cm.,Cover title.,,,,,"World War, 1914-1918--United States. ; --Neutrality--United States.",,,,,,,,
"Skeyhill, Tom,1896-1932 ",Poems from the peninsula /by T. Skeyhill,,"[Queensland? :T. Skeyhill?,1917?]",[10] p. ;15 cm.,,,,,,"World War, 1914-1918--Poetry ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --War poetry, Australian.",,,,,,,,
"Longley, Edna ",Poetry in the wars /Edna Longley,1st American ed.,"Newark :University of Delaware Press ;Cranbury, NJ :Associated University Presses,1987",264 p. ;23 cm.,Includes index.,,,"Thomas, Edward,--1878-1917--Criticism and interpretation",,"English poetry--20th century--History and criticism ; --War poetry, English--History and criticism ; --World War, 1914-1918--Literature and the war ; --World War, 1939-1945--Literature and the war ; --Northern Ireland in literature",,,,,087413322X (alk. paper),,,
"Beaverbrook, William Maxwell Aitken,baron,1879-1964 ","Politicians and the war, 1914-1916",,"Lond. :Butterworth,1928"," :Illus., ports. ;22 cm.",,,,,,"World War, 1914-1918--Great Britain",Great Britain--History--20th century,,,,,,,
"McMullin, Ross,1952- ",Pompey Elliott /Ross McMullin.,,"Carlton North, Vic. :Scribe Publications,2002.","xiii, 718 p., [16] p. of plates :ill., maps, ports. ;24 cm.",Includes index.,,,"Elliott, H. E.--(Harold Edward),--1878-1931.",,"Generals--Australia--Biography. ; --World War, 1914-1918--Biography.",,,,,908011709,,,
Great Britain.Commonwealth War Graves Commission ,"Pozieres Memorial France[microform] :bearing the names of those soldiers from the United Kingdom and South Africa who fell in the Great War in the Fifth and Fourth Army areas, 21st March to 7th August 1918, and whose graves are not known",,"Cambridge :Chadwyck-Healey,1988",microfiches :negative,"Reproduction of original: London : Imperial War Graves Commission, 1928; amended version published: Maidenhead, Berkshire : Commonwealth War Graves Commission, 1988. ; On header: British official publications. ; Library holds part 10 only",Part 10. Uncless-Zeeck.,,,,"World War, 1914-1918--Registers of dead--Commonwealth countries ; --War memorials--France--Pozieres ; --Pozieres Memorial (Pozieres, France)",,,,,,Memorial register ;27,,
"Charlton, Peter,1946- ","Pozieres, 1916 :Australians on the Somme /Peter Charlton",,"North Ryde :Methuen Haynes,1986","xiv, 318 p.,<24> p. of plates :ill.,maps ;24 cm.",,Includes index.,,,Australia.--Army.--Australian Imperial Force (1914-1921),"Somme, 1st Battle of the, France, 1916 ; --World War, 1914-1918--Campaigns--France",,,,,454008163,,,
"Charlton, Peter,1946- ","Pozieres, 1916 :Australians on the Somme /Peter Charlton",,"London :Leo Cooper in association with Secker & Warburg,1986","xiv, 318 p., <24> p. of plates :ill., maps, ports. ;24 cm.",,Includes index.,,,Australia.--Army.--Australian Imperial Force (1914-1921),"Somme, 1st Battle of the, France, 1916 ; --World War, 1914-1918--Campaigns--France",,,,,436095807,,,
 ,Princess Mary's Gift Book,,"London :Hodder & Stoughton,[1914]",140 p. :ill. ;25 cm.,'All profits from sale are given to the Queen's 'Work for women' fund which is acting in conjunction with the National relief fund.'.,,,"Mary,--Princess of Great Britain,--1897-1965",,"World War, 1914-1918--Gift books ; --Children's literature",,,,,,,,
"Adam-Smith, Patsy,1926- ",Prisoners of war :from Gallipoli to Korea /Patsy Adam-Smith,,"Ringwood, Vic :Viking,1992","599 p. :ill., ports. ;27 cm.",Includes index.,,,,,"Prisoners of war--Australia ; --World War, 1914-1918--Prisoners and prisons ; --World War, 1939-1945--Prisoners and prisons ; --Korean War, 1950-1953--Prisoners and prisons",,,,,670903086,,,
"Kerr, Greg,1964- ",Private wars :personal records of the Anzacs in the Great War /Gregg Kerr,,"Melbourne, Vic. :Oxford University Press,2000","xiv, 306 p. :ill. maps, ports. ;27 cm.",Includes index.,,,,Australia.--Army.--Australian Imperial Force (1914-1921),"Soldiers--Australia--Diaries ; --Military nursing--Australia--Correspondence ; --Military nursing--Australia--Diaries ; --Soldiers--Australia--Correspondence ; --World War, 1914-1918--Personal narratives, Australian",,,,,195507991,,,
"Keshen, Jeff,1962- ",Propaganda and censorship during Canada's great war /Jeffrey A. Keshen,,"Edmonton :University of Alberta Press,c1996","xviii, 333 p. :ill ;23 cm.",Includes index.,,,,,"World War, 1914-1918--Propaganda ; --World War, 1914-1918--Censorship--Canada ; --Propaganda, Anti-German--Canada--History ; --Propaganda, Canadian--History",,,,,888642792,,,
"Le Bon, Gustave,1841-1931 ",Psychology of the Great War :the First World War and its origins /Gustave LeBon ; with a new introduction by Martha Hanna and a new foreword by Irving Louis Horowitz,,"New Brunswick, U.S.A :Transaction Publishers,c1999","xxxv, 479 p. ;23 cm","Originally published: London: T. Fisher Unwin, 1916.",,,,,"World War, 1914-1918--Causes ; --World War, 1914-1918--Psychological aspects",,,,,0765804794 (pbk. acid-free paper),,,
"Bennett, Robin. ",Public attitudes and official policy towards Germans in Queensland in World War I /by Robin Bennett.,,"[St. Lucia, Qld.],1970.",206 leaves ;30 cm.,Photocopy.,,,,University of Queensland--Dissertations.,"Germans--Queensland--Public opinion. ; --Public opinion--Queensland. ; --Germans--Government policy--Queensland. ; --World War, 1914-1918--Queensland.",,,,,,,,
"Auten, Harold",Q boat adventures :the exploits of the famous mystery ships /by a Q boat commander,,"Lond. :Jenkins,<1935.>", ;18 1/2 cm.,,,,,,"World War, 1914-1918--Naval operations",,,,,,,,
"Beyer, Kenneth M.,1920- ",Q-ships versus U-boats :America's secret project /Kenneth M. Beyer,,"Annapolis, Md :Naval Institute Press,c1999","xx, 236 p. :ill., maps, ports. ;24 cm.",,,,,Atik (Q-ship) ; --Asterion (Q-ship),"World War, 1914-1918--Naval operations, American ; --Q-ships ; --World War, 1914-1918--Naval operations--Submarine ; --World War, 1914-1918--Naval operations, German",,,,,1557500444 (alk. paper),,,
"Wrench, Keith. ",Queensland enlistments World War 1 :not just a name but a person /Keith Wrench.,,"[Sunnybank Hills, Qld.] :Book Pal,2011.",489 p. ;30 cm.,,,,,"Australia.--Army--Recruiting, enlistment, etc.--World War, 1914-1918.","World War, 1914-1918--Queensland--Registers",,,,,9780646560922 (pbk.),,,
"Wildman, Owen",Queenslanders who fought in the great war /Owen Wildman,,"Brisbane :Besley and Pike,[1919?]","xii., 272 p. :ports. ;32 cm.",,,,,,"World War, 1914-1918--Queensland--Biography ; --Bookplates--Nathan, Sir Matthew, 1862-1939--local",,,,,,,Available online (as at 13/11/2013) at http://espace.library.uq.edu.au/eserv/UQ:217837/AU4007_Queenslanders_in_Great_War.pdf.,http://espace.library.uq.edu.au/eserv/UQ:217837/AU4007_Queenslanders_in_Great_War.pdf
 ,Queensland's first expeditionary force to the motherland[microform],,"<s.l. :s.n.,1990?>",1 microfilm reel :negative ;35mm,"Originally published: Sydney : Osboldstone, 1914. ; Caption title: Souvenir of the first expeditionary force from Queensland to go to the seat of war.",,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Pictorial works,"World War, 1914-1918--Registers",,,,,,,,
"Stanley, Peter,1956-","Quinn's Post :Anzac, Gallipoli /Peter Stanley.",,"Crows Nest, N.S.W. :Allen & Unwin,2005.","xxii, 226 p., [24] p. of plates :ill., maps, ports. ;23 cm.",Includes index.,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula.",,,,,1741143322 (pbk),,,
"Wallace, Graham ",R.A.F. Biggin Hill,,"Lond. :Putnam,1957",":Illus., ports. ;22 cm.",,,,,Great Britain.--Royal Air Force,"World War, 1914-1918--Aerial operations, British",,,,,,,,
"Raemaekers, Louis,1869-1956 ",Raemaekers cartoons,,"London :Hodder & Stoughton,<1916?>",40 p. :all. ill. ;25 cm,,,,,,"World War, 1914-1918--Caricatures and cartoons",,,,,,,,
"Thomas, Lowell,1892-1981. ",Raiders of the deep /by Lowell Thomas ; with an introduction and notes by Gary E. Weir.,,"Annapolis, Md. :Naval Institute Press,c2004.","xxvii, 363 p. :ill. ;23 cm.","Originally published: Garden City, N.Y. : Doubleday, Doran & Company, 1928. ; Includes index.",,,,,"World War, 1914-1918--Naval operations--Submarine. ; --World War, 1914-1918--Naval operations, German. ; --World War, 1914-1918--Personal narratives, German.",,,,,1591148618 (pbk. : alk. paper),Bluejacket books,,
"Morell, C. L. ",Rambling about Queensland /by C. L. Morell,,"Sydney :C. L. Morell,1967",159 p. ;21 cm.,,,,"Morell, C. L.",,"Sheep ranches--Queensland ; --Surveyors ; --World War, 1914-1918--Personal narratives","Tyrone (Qld.) ; --Queensland--Description and travel ; --Queensland, Northwest--Description and travel",,,,,,,
"Wren, Eric ","Randwick to Hargicourt :history of the 3rd Battalion, A.I.F. /by Eric Wren",,"<Swanbourne, W.A :John Burridge,1988>","xxxii,399,<49>p.of plates :ill.,maps, ports. ;23 cm.","Facsim.reprint. First published: Sydney : Ronald G. McDonald, 1935. ; 'Limited edition of 200 copies'. ; Available from John Burridge, Military Antiques, 91 Shenton Road, Swanbourne, W.A. 6010.",,,,"Australia.--Army.--Battalion, 3rd","World War, 1914-1918--Regimental histories--Australia",,,,,0731661893 (not printed in book),,,
"Gooch, G. P.(George Peabody),1873-1968 ",Recent revelations of European diplomacy /by G.P. Gooch,"4th ed., rev. & enl.","London :Longmans, Green,1940","viii, 475 p. ;23 cm.",Includes index.,,,,,"World War, 1914-1918--Causes",Europe--Politics and government--1871-1918,,,,,,,
"Joycey, Douglas ","Recollections :France & Belgium 1914-1918; the volcanic eruption at Rabaul, 1937; the war in New Guinea 1941-1946 /Douglas Joycey",,"<St. Lucia (Qld.) :D. Joycey,1982>","12, 14, 16 p., <7> leaves of plates :ill. ;30 cm",Cover title.,,,"Joycey, Douglas",,"World War, 1914-1918--Personal narratives ; --Volcanoes--Papua New Guinea ; --World War, 1939-1945--Papua New Guinea--Personal narratives",Papua New Guinea--Description and travel,,,,,,,
Returned Soldier,"Recollections of Gallipoli, France and Flanders /by A Returned Soldier",,"Brisbane :Robt. McGregor & Co.,<191->",32 p. ;19 cm.,,,,,,"World War, 1914-1918--Personal narratives",,,,,,,An edition of this publication is available online (as at 13/11/2013) at http://nla.gov.au/nla.aus-vn1969092.,http://nla.gov.au/nla.aus-vn1969092
"Evans, G. V.(Gerald Vance),1893- ",Recollections of the 1914-1918 war /G.V. Evans,,"Spring Hill, Qld. :G.V. Evans,1982",47 p. :ill. ;22 cm.,"Available from Mr. G.V. Evans, P.O. Box 106, Spring Hill, Qld. 4000.",,,,,"World War, 1914-1918--Personal narratives, Australian ; --World War, 1914-1918--Campaigns",,,,,959349308,,,
National Bank of Australasia ,Record of war service of bank and staff 1914-1919 /National Bank of Australasia Limited,,"Melbourne :Osboldstone & Co.,1921","164 p. :chiefly ill., ports. ;29 cm.",,,,,National Bank of Australasia--Biography,"World War, 1914-1918--Australia--Registers",,,,,,,,
,Red Cross street herald and Queensland drive record,,"Brisbane :A. Langley Simmons,1918",16 p. :ill. ;38 cm.,"Published Friday, July 26, 1918'...to provide a memento of a stirring week's patriotic work...' .",,,,,"World War, 1914-1918--War work--Queensland ; --Red Cross and Red Crescent--Queensland",,,,,,,A digital copy is available at http://hdl.handle.net/10462/pdf/1285SLQ DigPub,http://hdl.handle.net/10462/pdf/1285
"Black, Donald ",Red dust :an Australian trooper in Palestine /by Donald Black,,"London :J. Cape,1931","303 p. <9> leaves of plates (1 folded) :ill., 1 map ;21 cm",,,,"Black, Donald",,"World War, 1914-1918--Campaigns--Palestine ; --World War, 1914-1918--Personal narratives, Australian ; --Soldiers--Australia--Biography",,,,,,,,
"Anstey, Frank,1865-1940 ",Red Europe /by Frank Anstey,,"Melbourne :Fraser & Jenkinson,<1919>","xiii, 192 p. :ill., maps, ports. ;19 cm.",,,,,,"World War, 1914-1918--Propaganda","Soviet Union--History--Revolution, 1917-1921",,,,,,,
"Stromberg, Roland N.(Roland Nelson),1916- ",Redemption by war :the intellectuals and 1914 /Roland N. Stromberg,,"Lawrence :Regents Press of Kansas,c1982","vii, 250 p. ;23 cm.",,,,,,"World War, 1914-1918--Public opinion ; --Intellectuals--Europe",,,,,700602208,,,
"Mann, Thomas,1875-1955 ","Reflections of a nonpolitical man /Thomas Mann ; translated, with an introduction, by Walter D. Morris",,"New York :F. Ungar,c1983","xvii, 435 p. ;26 cm.",Translation of: Betrachtungen eines Unpolitischen.,,,"Mann, Thomas,--1875-1955--Political and social views",,"World War, 1914-1918--Influence",Germany--Politics and government--1918-1933,,,,080442585X,,,
Great Britain.Commonwealth War Graves Commission,"Register of the Mercantile Marine Memorial, Tower Hill, London",,"Cambridge :Chadwyck-Healey,1988",microfiches :negative,"Reproduction of original: London : Imperial War Graves Commission, 1928; amended version published: Maidenhead, Berkshire : Commonwealth War Graves Commission, 1988. ; On header: British official publications. ; Library holds parts 3, 5 and 6",Part 3. Eade-Harrison - Pt. 5. Knudsen-Meyler - Pt. 6. Miares-Pyle.,,,,"World War, 1914-1918--Registers of dead--Commonwealth countries ; --War memorials--England--London ; --Mercantile Marine Memorial (London, England)",,,,,,Memorial register ;39,,
